node,sistema,region,zone,kv
01LCP-400,SIN,CENTRAL,LAZARO CARDENAS,400.0
01PIT-400,SIN,CENTRAL,LAZARO CARDENAS,400.0
01TUL-400,SIN,CENTRAL,CENTRO ORIENTE,400.0
01VMA-400,SIN,CENTRAL,VDM NORTE,400.0
06AER-400,SIN,NORESTE,REYNOSA,400.0
06AHM-400,SIN,NORESTE,MONCLOVA,400.0
06ALT-400,SIN,NORESTE,TAMPICO,400.0
06ATP-400,SIN,NORESTE,REYNOSA,400.0
06CBD-400,SIN,NORESTE,PIEDRAS NEGRAS,400.0
06CDU-400,SIN,NORESTE,MONTERREY,400.0
06ESC-400,SIN,NORESTE,MONTERREY,400.0
06FAI-400,SIN,NORESTE,MONTERREY,400.0
06HUO-400,SIN,NORESTE,MONTERREY,400.0
06HYM-400,SIN,NORESTE,MONTERREY,400.0
06LLC-400,SIN,NORESTE,TAMPICO,400.0
06MES-400,SIN,NORESTE,TAMPICO,400.0
06PAE-400,SIN,NORESTE,TAMPICO,400.0
06PGE-400,SIN,NORESTE,MONTERREY,400.0
06RAP-400,SIN,NORESTE,SALTILLO,400.0
06REC-400,SIN,NORESTE,PIEDRAS NEGRAS,400.0
06SCP-400,SIN,NORESTE,MONTEMORELOS,400.0
06TEG-400,SIN,NORESTE,TAMPICO,400.0
06TEP-400,SIN,NORESTE,TAMPICO,400.0
06TMS-400,SIN,NORESTE,TAMPICO,400.0
06TRQ-400,SIN,NORESTE,MONTERREY,400.0
04ECD-400,SIN,NOROESTE,GUAYMAS,400.0
04TPD-400,SIN,NOROESTE,LOS MOCHIS,400.0
05MVI-400,SIN,NORTE,LAGUNA,400.0
03AGM-400,SIN,OCCIDENTAL,TEPIC VALLARTA,400.0
03CJN-400,SIN,OCCIDENTAL,TEPIC VALLARTA,400.0
03EVI-400,SIN,OCCIDENTAL,ZACATECAS,400.0
03LYE-400,SIN,OCCIDENTAL,GUADALAJARA,400.0
03MFP-400,SIN,OCCIDENTAL,ZACATECAS,400.0
03MNZ-400,SIN,OCCIDENTAL,MANZANILLO,400.0
03MPM-400,SIN,OCCIDENTAL,AGUASCALIENTES,400.0
03PMY-400,SIN,OCCIDENTAL,ZACATECAS,400.0
03PNQ-400,SIN,OCCIDENTAL,FRESNILLO,400.0
03POM-400,SIN,OCCIDENTAL,AGUASCALIENTES,400.0
03SAU-400,SIN,OCCIDENTAL,QUERETARO,400.0
03SLM-400,SIN,OCCIDENTAL,IRAPUATO,400.0
03TIM-400,SIN,OCCIDENTAL,GUADALAJARA,400.0
02ANG-400,SIN,ORIENTAL,TUXTLA,400.0
02CBE-400,SIN,ORIENTAL,MORELOS,400.0
02CYR-400,SIN,ORIENTAL,PUEBLA,400.0
02LAV-400,SIN,ORIENTAL,VERACRUZ,400.0
02MID-400,SIN,ORIENTAL,COATZACOALCOS,400.0
02MMT-400,SIN,ORIENTAL,TUXTLA,400.0
02MPS-400,SIN,ORIENTAL,CHONTALPA,400.0
02OJP-400,SIN,ORIENTAL,ORIZABA,400.0
02TTE-400,SIN,ORIENTAL,POZA RICA,400.0
02TUV-400,SIN,ORIENTAL,POZA RICA,400.0
08RMV-400,SIN,PENINSULAR,MOTUL TIZIMIN,400.0
01ACO-230,SIN,CENTRAL,VDM NORTE,230.0
01ACS-230,SIN,CENTRAL,CENTRO ORIENTE,230.0
01AGU-230,SIN,CENTRAL,VDM SUR,230.0
01AUR-230,SIN,CENTRAL,VDM CENTRO,230.0
06AER-230,SIN,NORESTE,REYNOSA,230.0
06APC-230,SIN,NORESTE,SALTILLO,230.0
06CED-230,SIN,NORESTE,SALTILLO,230.0
06MON-230,SIN,NORESTE,MONCLOVA,230.0
04AGD-230,SIN,NOROESTE,NOGALES,230.0
04HAE-230,SIN,NOROESTE,HERMOSILLO,230.0
04HTS-230,SIN,NOROESTE,NAVOJOA,230.0
04MZD-230,SIN,NOROESTE,MAZATLAN,230.0
04PLD-230,SIN,NOROESTE,CABORCA,230.0
05CHU-230,SIN,NORTE,CHIHUAHUA,230.0
05FVL-230,SIN,NORTE,CAMARGO,230.0
05LTR-230,SIN,NORTE,DURANGO,230.0
05MBO-230,SIN,NORTE,JUAREZ,230.0
03ATQ-230,SIN,OCCIDENTAL,CIENEGA,230.0
03CMX-230,SIN,OCCIDENTAL,IXMIQUILPAN,230.0
03DEC-230,SIN,OCCIDENTAL,CELAYA,230.0
03EGM-230,SIN,OCCIDENTAL,SAN LUIS POTOSI,230.0
02AZM-230,SIN,ORIENTAL,TLAXCALA,230.0
02CRL-230,SIN,ORIENTAL,IGUALA,230.0
02CYB-230,SIN,ORIENTAL,TEZIUTLAN,230.0
02IPO-230,SIN,ORIENTAL,TEHUANTEPEC,230.0
02TOC-230,SIN,ORIENTAL,TECAMACHALCO,230.0
08KAH-230,SIN,PENINSULAR,CAMPECHE,230.0
08MDP-230,SIN,PENINSULAR,MERIDA,230.0
08SLC-230,SIN,PENINSULAR,CAMPECHE,230.0
08VAD-230,SIN,PENINSULAR,MOTUL TIZIMIN,230.0
01AIN-115,SIN,CENTRAL,CENTRO SUR,115.0
01ANM-115,SIN,CENTRAL,CENTRO SUR,115.0
06ABR-115,SIN,NORESTE,HUASTECA,115.0
06APX-115,SIN,NORESTE,HUEJUTLA,115.0
04BCH-115,SIN,NOROESTE,CULIACAN,115.0
04BMO-115,SIN,NOROESTE,GUASAVE,115.0
04BND-115,SIN,NOROESTE,OBREGON,115.0
05AGE-115,SIN,NORTE,CUAUHTEMOC,115.0
05AON-115,SIN,NORTE,CASAS GRANDES,115.0
03ABL-115,SIN,OCCIDENTAL,ZAMORA,115.0
03ABT-115,SIN,OCCIDENTAL,MORELIA,115.0
03ACR-115,SIN,OCCIDENTAL,SAN JUAN DEL RIO,115.0
02AAA-115,SIN,ORIENTAL,SAN CRISTOBAL,115.0
02ACA-115,SIN,ORIENTAL,IZUCAR,115.0
02ACJ-115,SIN,ORIENTAL,XALAPA,115.0
08AKD-115,SIN,PENINSULAR,RIVIERA MAYA,115.0
08BNI-115,SIN,PENINSULAR,CANCUN,115.0
